Year,Period,Month,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate,Timepoint
2010,Apr,4,70.8,64.7,2725446,2489593,235853,8.7,2010-4
2011,Apr,4,69.7,63.8,2725243,2495652,229591,8.4,2011-4
2012,Apr,4,69.2,63.6,2750712,2528512,222200,8.1,2012-4
2013,Apr,4,68.3,63.5,2766087,2568489,197598,7.1,2013-4
2014,Apr,4,67.9,64.2,2796938,2645435,151503,5.4,2014-4
2015,Apr,4,67,64.2,2820390,2703597,116793,4.1,2015-4
2016,Apr,4,66.8,64.5,2875505,2776260,99245,3.5,2016-4
2017,Apr,4,67.7,65.9,2962529,2883199,79330,2.7,2017-4
2018,Apr,4,68.8,66.7,3066430,2972306,94124,3.1,2018-4
2019,Apr,4,69,67,3127272,3036474,90798,2.9,2019-4
2020,Apr,4,66.4,58.3,3054771,2681128,373643,12.2,2020-4
2010,Aug,8,70.5,64.3,2725309,2484727,240582,8.8,2010-8
2011,Aug,8,69.6,63.9,2737851,2512064,225787,8.2,2011-8
2012,Aug,8,69,63.6,2759167,2543095,216072,7.8,2012-8
2013,Aug,8,68,63.4,2769026,2581863,187163,6.8,2013-8
2014,Aug,8,67.6,64.5,2807159,2677061,130098,4.6,2014-8
2015,Aug,8,66.6,64.1,2824036,2718319,105717,3.7,2015-8
2016,Aug,8,67,64.8,2901038,2806630,94408,3.3,2016-8
2017,Aug,8,68.2,66.3,3003207,2918071,85136,2.8,2017-8
2018,Aug,8,69,66.7,3091101,2990761,100340,3.2,2018-8
2019,Aug,8,69.4,67.6,3160179,3077345,82834,2.6,2019-8
2020,Aug,8,66.7,62.3,3087775,2882001,205774,6.7,2020-8
2010,Dec,12,70.1,63.9,2725739,2484035,241704,8.9,2010-12
2011,Dec,12,69.6,63.9,2755211,2529433,225778,8.2,2011-12
2012,Dec,12,68.8,63.6,2768370,2561350,207020,7.5,2012-12
2013,Dec,12,67.7,63.5,2772991,2603132,169859,6.1,2013-12
2014,Dec,12,67.4,64.5,2816915,2696168,120747,4.3,2014-12
2015,Dec,12,66.6,64.3,2846562,2747516,99046,3.5,2015-12
2016,Dec,12,67.2,65.3,2927937,2843705,84232,2.9,2016-12
2017,Dec,12,68.5,66.4,3032321,2943243,89078,2.9,2017-12
2018,Dec,12,69.1,66.9,3114211,3013869,100342,3.2,2018-12
2019,Dec,12,69.3,67.6,3174504,3094165,80339,2.5,2019-12
2010,Feb,2,70.1,64.2,2718865,2488580,230285,8.5,2010-2
2011,Feb,2,69.9,63.8,2726295,2489803,236492,8.7,2011-2
2012,Feb,2,69.4,63.7,2752543,2529062,223481,8.1,2012-2
2013,Feb,2,68.5,63.5,2765868,2563642,202226,7.3,2013-2
2014,Feb,2,67.8,63.9,2787334,2625732,161602,5.8,2014-2
2015,Feb,2,67.1,64.3,2816684,2697100,119584,4.2,2015-2
2016,Feb,2,66.8,64.5,2863147,2764171,98976,3.5,2016-2
2017,Feb,2,67.4,65.6,2943654,2863479,80175,2.7,2017-2
2018,Feb,2,68.6,66.6,3048319,2957429,90890,3,2018-2
2019,Feb,2,69.1,66.9,3120717,3024409,96308,3.1,2019-2
2020,Feb,2,69.4,67.7,3186341,3106077,80264,2.5,2020-2
2010,Jan,1,70.1,64.3,2714266,2488218,226048,8.3,2010-1
2011,Jan,1,70,63.8,2726142,2486606,239536,8.8,2011-1
2012,Jan,1,69.5,63.8,2754132,2529588,224544,8.2,2012-1
2013,Jan,1,68.6,63.6,2767274,2562697,204577,7.4,2013-1
2014,Jan,1,67.8,63.7,2781177,2615291,165886,6,2014-1
2015,Jan,1,67.2,64.3,2815134,2694755,120379,4.3,2015-1
2016,Jan,1,66.7,64.4,2855252,2756418,98834,3.5,2016-1
2017,Jan,1,67.3,65.4,2935360,2853461,81899,2.8,2017-1
2018,Jan,1,68.5,66.5,3039756,2949910,89846,3,2018-1
2019,Jan,1,69.1,66.9,3118005,3019332,98673,3.2,2019-1
2020,Jan,1,69.4,67.6,3180821,3101414,79407,2.5,2020-1
2010,Jul,7,70.6,64.4,2725775,2486711,239064,8.8,2010-7
2011,Jul,7,69.6,63.8,2731838,2506281,225557,8.3,2011-7
2012,Jul,7,69,63.5,2755737,2537362,218375,7.9,2012-7
2013,Jul,7,68.1,63.4,2769763,2579207,190556,6.9,2013-7
2014,Jul,7,67.7,64.5,2804294,2669823,134471,4.8,2014-7
2015,Jul,7,66.7,64.1,2823123,2714574,108549,3.8,2015-7
2016,Jul,7,66.9,64.7,2894043,2797416,96627,3.3,2016-7
2017,Jul,7,68.1,66.2,2993700,2910350,83350,2.8,2017-7
2018,Jul,7,69,66.7,3085673,2986530,99143,3.2,2018-7
2019,Jul,7,69.3,67.4,3150271,3065701,84570,2.7,2019-7
2020,Jul,7,66.7,61.8,3084472,2854900,229572,7.4,2020-7
2010,Jun,6,70.7,64.5,2726542,2488575,237967,8.7,2010-6
2011,Jun,6,69.6,63.8,2727538,2501595,225943,8.3,2011-6
2012,Jun,6,69,63.5,2753000,2532746,220254,8,2012-6
2013,Jun,6,68.2,63.5,2769223,2576118,193105,7,2013-6
2014,Jun,6,67.8,64.4,2801950,2662096,139854,5,2014-6
2015,Jun,6,66.8,64.1,2822707,2711141,111566,4,2015-6
2016,Jun,6,66.9,64.6,2887327,2789101,98226,3.4,2016-6
2017,Jun,6,68,66.1,2983375,2901893,81482,2.7,2017-6
2018,Jun,6,68.9,66.8,3080217,2982461,97756,3.2,2018-6
2019,Jun,6,69.2,67.3,3140510,3054147,86363,2.7,2019-6
2020,Jun,6,68.8,61.5,3177090,2840256,336834,10.6,2020-6
2010,Mar,3,70.2,64.1,2722791,2489213,233578,8.6,2010-3
2011,Mar,3,69.8,63.8,2725870,2492959,232911,8.5,2011-3
2012,Mar,3,69.3,63.7,2751340,2528560,222780,8.1,2012-3
2013,Mar,3,68.4,63.5,2765227,2565296,199931,7.2,2013-3
2014,Mar,3,67.9,64,2792856,2636069,156787,5.6,2014-3
2015,Mar,3,67,64.2,2818498,2699990,118508,4.2,2015-3
2016,Mar,3,66.8,64.5,2869786,2770611,99175,3.5,2016-3
2017,Mar,3,67.5,65.7,2952715,2873408,79307,2.7,2017-3
2018,Mar,3,68.7,66.7,3057607,2965268,92339,3,2018-3
2019,Mar,3,69.1,67,3123383,3029822,93561,3,2019-3
2020,Mar,3,68.2,64.7,3136533,2972506,164027,5.2,2020-3
2010,May,5,70.8,64.6,2726694,2489552,237142,8.7,2010-5
2011,May,5,69.6,63.8,2725485,2498260,227225,8.3,2011-5
2012,May,5,69.1,63.5,2751221,2529773,221448,8,2012-5
2013,May,5,68.3,63.5,2767770,2572419,195351,7.1,2013-5
2014,May,5,67.8,64.3,2799663,2653932,145731,5.2,2014-5
2015,May,5,66.9,64.2,2821938,2707500,114438,4.1,2015-5
2016,May,5,66.9,64.6,2881161,2782143,99018,3.4,2016-5
2017,May,5,67.8,66,2972877,2892795,80082,2.7,2017-5
2018,May,5,68.9,66.8,3073935,2977908,96027,3.1,2018-5
2019,May,5,69.1,67.1,3133013,3044663,88350,2.8,2019-5
2020,May,5,66.6,59.8,3069113,2755457,313656,10.2,2020-5
2010,Nov,11,70.2,63.9,2725575,2482569,243006,8.9,2010-11
2011,Nov,11,69.7,64,2754113,2527589,226524,8.2,2011-11
2012,Nov,11,68.9,63.6,2768164,2558745,209419,7.6,2012-11
2013,Nov,11,67.7,63.4,2768743,2595010,173733,6.3,2013-11
2014,Nov,11,67.4,64.5,2815523,2693174,122349,4.3,2014-11
2015,Nov,11,66.5,64.2,2837974,2738262,99712,3.5,2015-11
2016,Nov,11,67.2,65.2,2921204,2834285,86919,3,2016-11
2017,Nov,11,68.4,66.4,3025601,2937284,88317,2.9,2017-11
2018,Nov,11,69.1,66.8,3109154,3007826,101328,3.3,2018-11
2019,Nov,11,69.4,67.7,3175472,3095329,80143,2.5,2019-11
2010,Oct,10,70.3,64,2725408,2482187,243221,8.9,2010-10
2011,Oct,10,69.7,64,2750277,2523717,226560,8.2,2011-10
2012,Oct,10,68.9,63.6,2766298,2554638,211660,7.7,2012-10
2013,Oct,10,67.7,63.4,2767060,2588943,178117,6.4,2013-10
2014,Oct,10,67.5,64.5,2813456,2689100,124356,4.4,2014-10
2015,Oct,10,66.5,64.1,2830882,2729813,101069,3.6,2015-10
2016,Oct,10,67.1,65,2914759,2825162,89597,3.1,2016-10
2017,Oct,10,68.3,66.4,3018886,2931437,87449,2.9,2017-10
2018,Oct,10,69,66.8,3103165,3001544,101621,3.3,2018-10
2019,Oct,10,69.5,67.8,3175067,3094826,80241,2.5,2019-10
2010,Sep,9,70.4,64.1,2725176,2483000,242176,8.9,2010-9
2011,Sep,9,69.7,63.9,2744437,2518200,226237,8.2,2011-9
2012,Sep,9,68.9,63.6,2763026,2549191,213835,7.7,2012-9
2013,Sep,9,67.8,63.4,2767659,2584827,182832,6.6,2013-9
2014,Sep,9,67.6,64.5,2810417,2683613,126804,4.5,2014-9
2015,Sep,9,66.5,64.1,2826310,2723153,103157,3.6,2015-9
2016,Sep,9,67.1,64.9,2908063,2816018,92045,3.2,2016-9
2017,Sep,9,68.3,66.3,3011552,2925074,86478,2.9,2017-9
2018,Sep,9,69,66.8,3096967,2995718,101249,3.3,2018-9
2019,Sep,9,69.5,67.7,3168978,3087657,81321,2.6,2019-9
2020,Sep,9,67.9,63.6,3147378,2945381,201997,6.4,2020-9
